data;vendas_previstas;forecast_horizon
2025-10-07;37160.82485044872;60
2025-10-08;9840.72746948052;60
2025-10-09;38807.46585605019;60
2025-10-10;132173.48143800278;60
2025-10-11;151697.80458042683;60
2025-10-12;33756.38620531123;60
2025-10-13;66277.4786246373;60
2025-10-14;42215.20734430327;60
2025-10-15;19371.616780930417;60
2025-10-16;72429.88403660603;60
2025-10-17;68302.87760268156;60
2025-10-18;75878.769018173;60
2025-10-19;3937.437836939779;60
2025-10-20;76655.58512364351;60
2025-10-21;42772.3029833379;60
2025-10-22;35619.06779831774;60
2025-10-23;27419.047834538917;60
2025-10-24;51074.52036412752;60
2025-10-25;46529.066232461526;60
2025-10-26;7690.615305257888;60
2025-10-27;47582.2903059212;60
2025-10-28;27972.27262017839;60
2025-10-29;34524.512842048745;60
2025-10-30;43210.36246546646;60
2025-10-31;42423.50889981816;60
2025-11-01;21089.76545397692;60
2025-11-02;7720.070379258094;60
2025-11-03;27839.102424922447;60
2025-11-04;27085.90822476233;60
2025-11-05;20230.423009809645;60
2025-11-06;41396.41034208832;60
2025-11-07;75457.44536940687;60
2025-11-08;142665.34619387245;60
2025-11-09;15589.81046441472;60
2025-11-10;85501.63085679103;60
2025-11-11;57135.42934409807;60
2025-11-12;41565.12389061733;60
2025-11-13;52056.39149678701;60
2025-11-14;44508.195136264774;60
2025-11-15;119711.09165166193;60
2025-11-16;11788.915370712944;60
2025-11-17;66855.83222660206;60
2025-11-18;55408.78648897934;60
2025-11-19;75589.21906425807;60
2025-11-20;16730.9894240727;60
2025-11-21;76238.50053014583;60
2025-11-22;37681.1655356721;60
2025-11-23;13551.700997396407;60
2025-11-24;105872.34150130575;60
2025-11-25;52378.934122680505;60
2025-11-26;54711.102463273055;60
2025-11-27;93758.47057924059;60
2025-11-28;58039.77725310137;60
2025-11-29;42414.25799419123;60
2025-11-30;9988.819703448407;60
2025-12-01;22935.530393501744;60
2025-12-02;25329.905286024063;60
2025-12-03;61620.87045530258;60
2025-12-04;35879.8285584029;60
2025-12-05;65765.95538444135;60
