data;vendas_previstas;forecast_horizon
2025-10-07;123652.21972704942;30
2025-10-08;172365.06337787764;30
2025-10-09;386962.73512220464;30
2025-10-10;234802.03290243502;30
2025-10-11;114806.18041371512;30
2025-10-12;33114.53095230916;30
2025-10-13;58476.91874236245;30
2025-10-14;165567.3208646458;30
2025-10-15;90557.87487306992;30
2025-10-16;121340.15522988897;30
2025-10-17;143034.3980543361;30
2025-10-18;42059.94570585697;30
2025-10-19;9330.004418537486;30
2025-10-20;129054.21998829352;30
2025-10-21;73386.1156051407;30
2025-10-22;299713.01271949656;30
2025-10-23;99972.97630490921;30
2025-10-24;92595.93960542032;30
2025-10-25;103207.80594992783;30
2025-10-26;7026.426336452718;30
2025-10-27;144752.09066260819;30
2025-10-28;213725.25689397173;30
2025-10-29;125888.08596591245;30
2025-10-30;74770.87209482504;30
2025-10-31;173079.1574314747;30
2025-11-01;115394.38644537135;30
2025-11-02;9252.315305572442;30
2025-11-03;106928.78626820276;30
2025-11-04;131455.98171180644;30
2025-11-05;159938.29027028056;30
